name,s_type,scope
羟丙基二淀粉磷酸酯,粘结剂、抗结块剂、稳定剂和乳化剂,犬、猫
羟丙基淀粉,粘结剂、抗结块剂、稳定剂和乳化剂,犬、猫
透明质酸钠,其他,犬、猫
透明质酸,其他,犬、猫
酪蛋白酸钠,粘结剂、抗结块剂、稳定剂和乳化剂,犬、猫
丙二醇脂肪酸酯,粘结剂、抗结块剂、稳定剂和乳化剂,犬、猫
羟丙基二淀粉磷酸酯,粘结剂、抗结块剂、稳定剂和乳化剂,犬、猫
羟丙基淀粉,粘结剂、抗结块剂、稳定剂和乳化剂,犬、猫
硬脂酸镁,粘结剂、抗结块剂、稳定剂和乳化剂,犬、猫
不溶性聚乙烯聚吡咯烷酮（PVPP),粘结剂、抗结块剂、稳定剂和乳化剂,犬、猫
羟丙基二淀粉磷酸酯,粘结剂、抗结块剂、稳定剂和乳化剂,犬、猫
羟丙基淀粉,粘结剂、抗结块剂、稳定剂和乳化剂,犬、猫
醋酸酯淀粉,粘结剂、抗结块剂、稳定剂和乳化剂,犬、猫
葡萄糖酸-δ-内酯,粘结剂、抗结块剂、稳定剂和乳化剂,犬、猫
醋酸酯淀粉,粘结剂、抗结块剂、稳定剂和乳化剂,犬、猫
葡萄糖酸-δ-内酯,粘结剂、抗结块剂、稳定剂和乳化剂,犬、猫
醋酸酯淀粉,粘结剂、抗结块剂、稳定剂和乳化剂,犬、猫
葡萄糖酸-δ-内酯,粘结剂、抗结块剂、稳定剂和乳化剂,犬、猫
醋酸酯淀粉,粘结剂、抗结块剂、稳定剂和乳化剂,犬、猫
葡萄糖酸-δ-内酯,粘结剂、抗结块剂、稳定剂和乳化剂,犬、猫
酪蛋白酸钠,粘结剂、抗结块剂、稳定剂和乳化剂,犬、猫
丙二醇脂肪酸酯,粘结剂、抗结块剂、稳定剂和乳化剂,犬、猫
硬脂酸镁,粘结剂、抗结块剂、稳定剂和乳化剂,犬、猫
不溶性聚乙烯聚吡咯烷酮（PVPP),粘结剂、抗结块剂、稳定剂和乳化剂,犬、猫
二十碳五烯酸(EPA),其他,犬、猫
酪蛋白钙肽（CCP),其他,犬、猫
硫酸软骨素钠,其他,犬、猫
酪蛋白磷酸肽(CPP),其他,犬、猫
乳铁蛋白,其他,犬、猫
透明质酸钠,其他,犬、猫
透明质酸,其他,犬、猫
酪蛋白酸钠,粘结剂、抗结块剂、稳定剂和乳化剂,犬、猫
丙二醇脂肪酸酯,粘结剂、抗结块剂、稳定剂和乳化剂,犬、猫
羟丙基纤维素,粘结剂、抗结块剂、稳定剂和乳化剂,犬、猫
羟丙基甲基纤维素,粘结剂、抗结块剂、稳定剂和乳化剂,犬、猫
酪蛋白酸钠,粘结剂、抗结块剂、稳定剂和乳化剂,犬、猫
丙二醇脂肪酸酯,粘结剂、抗结块剂、稳定剂和乳化剂,犬、猫
羧甲基淀粉钠,粘结剂、抗结块剂、稳定剂和乳化剂,犬、猫
结冷胶,粘结剂、抗结块剂、稳定剂和乳化剂,犬、猫
酪蛋白酸钠,粘结剂、抗结块剂、稳定剂和乳化剂,犬、猫
丙二醇脂肪酸酯,粘结剂、抗结块剂、稳定剂和乳化剂,犬、猫
羟丙基二淀粉磷酸酯,粘结剂、抗结块剂、稳定剂和乳化剂,犬、猫
羟丙基淀粉,粘结剂、抗结块剂、稳定剂和乳化剂,犬、猫
羟丙基二淀粉磷酸酯,粘结剂、抗结块剂、稳定剂和乳化剂,犬、猫
羟丙基淀粉,粘结剂、抗结块剂、稳定剂和乳化剂,犬、猫
羟丙基二淀粉磷酸酯,粘结剂、抗结块剂、稳定剂和乳化剂,犬、猫
羟丙基淀粉,粘结剂、抗结块剂、稳定剂和乳化剂,犬、猫
羟丙基二淀粉磷酸酯,粘结剂、抗结块剂、稳定剂和乳化剂,犬、猫
羟丙基淀粉,粘结剂、抗结块剂、稳定剂和乳化剂,犬、猫
羧甲基淀粉钠,粘结剂、抗结块剂、稳定剂和乳化剂,犬、猫
结冷胶,粘结剂、抗结块剂、稳定剂和乳化剂,犬、猫
酪蛋白磷酸肽(CPP),其他,犬、猫
乳铁蛋白,其他,犬、猫
硫酸软骨素钠,其他,犬、猫
二甲基砜（MSM),其他,犬、猫
二甲基砜（MSM),其他,犬、猫
二十碳五烯酸(EPA),其他,犬、猫
透明质酸钠,其他,犬、猫
透明质酸,其他,犬、猫
羟丙基纤维素,粘结剂、抗结块剂、稳定剂和乳化剂,犬、猫
羟丙基甲基纤维素,粘结剂、抗结块剂、稳定剂和乳化剂,犬、猫
硬脂酸镁,粘结剂、抗结块剂、稳定剂和乳化剂,犬、猫
不溶性聚乙烯聚吡咯烷酮（PVPP),粘结剂、抗结块剂、稳定剂和乳化剂,犬、猫
醋酸酯淀粉,粘结剂、抗结块剂、稳定剂和乳化剂,犬、猫
葡萄糖酸-δ-内酯,粘结剂、抗结块剂、稳定剂和乳化剂,犬、猫
酪蛋白酸钠,粘结剂、抗结块剂、稳定剂和乳化剂,犬、猫
丙二醇脂肪酸酯,粘结剂、抗结块剂、稳定剂和乳化剂,犬、猫
酪蛋白酸钠,粘结剂、抗结块剂、稳定剂和乳化剂,犬、猫
丙二醇脂肪酸酯,粘结剂、抗结块剂、稳定剂和乳化剂,犬、猫
酪蛋白酸钠,粘结剂、抗结块剂、稳定剂和乳化剂,犬、猫
丙二醇脂肪酸酯,粘结剂、抗结块剂、稳定剂和乳化剂,犬、猫
酪蛋白酸钠,粘结剂、抗结块剂、稳定剂和乳化剂,犬、猫
丙二醇脂肪酸酯,粘结剂、抗结块剂、稳定剂和乳化剂,犬、猫
醋酸酯淀粉,粘结剂、抗结块剂、稳定剂和乳化剂,犬、猫
葡萄糖酸-δ-内酯,粘结剂、抗结块剂、稳定剂和乳化剂,犬、猫
透明质酸钠,其他,犬、猫
透明质酸,其他,犬、猫
二十碳五烯酸(EPA),其他,犬、猫
酪蛋白钙肽（CCP),其他,犬、猫
硫酸软骨素钠,其他,犬、猫
二甲基砜（MSM),其他,犬、猫
酪蛋白钙肽（CCP),其他,犬、猫
酪蛋白磷酸肽(CPP),其他,犬、猫
羟丙基纤维素,粘结剂、抗结块剂、稳定剂和乳化剂,犬、猫
羟丙基甲基纤维素,粘结剂、抗结块剂、稳定剂和乳化剂,犬、猫
硬脂酸镁,粘结剂、抗结块剂、稳定剂和乳化剂,犬、猫
不溶性聚乙烯聚吡咯烷酮（PVPP),粘结剂、抗结块剂、稳定剂和乳化剂,犬、猫
羧甲基淀粉钠,粘结剂、抗结块剂、稳定剂和乳化剂,犬、猫
结冷胶,粘结剂、抗结块剂、稳定剂和乳化剂,犬、猫
羟丙基二淀粉磷酸酯,粘结剂、抗结块剂、稳定剂和乳化剂,犬、猫
羟丙基淀粉,粘结剂、抗结块剂、稳定剂和乳化剂,犬、猫
羟丙基二淀粉磷酸酯,粘结剂、抗结块剂、稳定剂和乳化剂,犬、猫
羟丙基淀粉,粘结剂、抗结块剂、稳定剂和乳化剂,犬、猫
羟丙基纤维素,粘结剂、抗结块剂、稳定剂和乳化剂,犬、猫
羟丙基甲基纤维素,粘结剂、抗结块剂、稳定剂和乳化剂,犬、猫
酪蛋白磷酸肽(CPP),其他,犬、猫
乳铁蛋白,其他,犬、猫
二十碳五烯酸(EPA),其他,犬、猫
酪蛋白钙肽（CCP),其他,犬、猫
硫酸软骨素钠,其他,犬、猫
乳铁蛋白,其他,犬、猫
透明质酸钠,其他,犬、猫
硬脂酸镁,粘结剂、抗结块剂、稳定剂和乳化剂,犬、猫
不溶性聚乙烯聚吡咯烷酮（PVPP),粘结剂、抗结块剂、稳定剂和乳化剂,犬、猫
羧甲基淀粉钠,粘结剂、抗结块剂、稳定剂和乳化剂,犬、猫
结冷胶,粘结剂、抗结块剂、稳定剂和乳化剂,犬、猫
醋酸酯淀粉,粘结剂、抗结块剂、稳定剂和乳化剂,犬、猫
葡萄糖酸-δ-内酯,粘结剂、抗结块剂、稳定剂和乳化剂,犬、猫
酪蛋白酸钠,粘结剂、抗结块剂、稳定剂和乳化剂,犬、猫
丙二醇脂肪酸酯,粘结剂、抗结块剂、稳定剂和乳化剂,犬、猫
酪蛋白酸钠,粘结剂、抗结块剂、稳定剂和乳化剂,犬、猫
丙二醇脂肪酸酯,粘结剂、抗结块剂、稳定剂和乳化剂,犬、猫
硬脂酸镁,粘结剂、抗结块剂、稳定剂和乳化剂,犬、猫
不溶性聚乙烯聚吡咯烷酮（PVPP),粘结剂、抗结块剂、稳定剂和乳化剂,犬、猫
透明质酸钠,其他,犬、猫
透明质酸,其他,犬、猫
酪蛋白磷酸肽(CPP),其他,犬、猫
乳铁蛋白,其他,犬、猫
二甲基砜（MSM),其他,犬、猫
二十碳五烯酸(EPA),其他,犬、猫
透明质酸,其他,犬、猫
羟丙基纤维素,粘结剂、抗结块剂、稳定剂和乳化剂,犬、猫
羧甲基淀粉钠,粘结剂、抗结块剂、稳定剂和乳化剂,犬、猫
结冷胶,粘结剂、抗结块剂、稳定剂和乳化剂,犬、猫
醋酸酯淀粉,粘结剂、抗结块剂、稳定剂和乳化剂,犬、猫
葡萄糖酸-δ-内酯,粘结剂、抗结块剂、稳定剂和乳化剂,犬、猫
羟丙基二淀粉磷酸酯,粘结剂、抗结块剂、稳定剂和乳化剂,犬、猫
羟丙基淀粉,粘结剂、抗结块剂、稳定剂和乳化剂,犬、猫
羧甲基淀粉钠,粘结剂、抗结块剂、稳定剂和乳化剂,犬、猫
结冷胶,粘结剂、抗结块剂、稳定剂和乳化剂,犬、猫
羟丙基纤维素,粘结剂、抗结块剂、稳定剂和乳化剂,犬、猫
羟丙基甲基纤维素,粘结剂、抗结块剂、稳定剂和乳化剂,犬、猫
透明质酸钠,其他,犬、猫
透明质酸,其他,犬、猫
酪蛋白钙肽（CCP),其他,犬、猫
酪蛋白磷酸肽(CPP),其他,犬、猫
羟丙基甲基纤维素,粘结剂、抗结块剂、稳定剂和乳化剂,犬、猫
硬脂酸镁,粘结剂、抗结块剂、稳定剂和乳化剂,犬、猫
醋酸酯淀粉,粘结剂、抗结块剂、稳定剂和乳化剂,犬、猫
葡萄糖酸-δ-内酯,粘结剂、抗结块剂、稳定剂和乳化剂,犬、猫
羟丙基二淀粉磷酸酯,粘结剂、抗结块剂、稳定剂和乳化剂,犬、猫
羟丙基淀粉,粘结剂、抗结块剂、稳定剂和乳化剂,犬、猫
酪蛋白酸钠,粘结剂、抗结块剂、稳定剂和乳化剂,犬、猫
丙二醇脂肪酸酯,粘结剂、抗结块剂、稳定剂和乳化剂,犬、猫
醋酸酯淀粉,粘结剂、抗结块剂、稳定剂和乳化剂,犬、猫
葡萄糖酸-δ-内酯,粘结剂、抗结块剂、稳定剂和乳化剂,犬、猫
硬脂酸镁,粘结剂、抗结块剂、稳定剂和乳化剂,犬、猫
不溶性聚乙烯聚吡咯烷酮（PVPP),粘结剂、抗结块剂、稳定剂和乳化剂,犬、猫
羟丙基纤维素,粘结剂、抗结块剂、稳定剂和乳化剂,犬、猫
羟丙基甲基纤维素,粘结剂、抗结块剂、稳定剂和乳化剂,犬、猫
乳铁蛋白,其他,犬、猫
透明质酸钠,其他,犬、猫
不溶性聚乙烯聚吡咯烷酮（PVPP),粘结剂、抗结块剂、稳定剂和乳化剂,犬、猫
羧甲基淀粉钠,粘结剂、抗结块剂、稳定剂和乳化剂,犬、猫
羟丙基二淀粉磷酸酯,粘结剂、抗结块剂、稳定剂和乳化剂,犬、猫
羟丙基淀粉,粘结剂、抗结块剂、稳定剂和乳化剂,犬、猫
酪蛋白酸钠,粘结剂、抗结块剂、稳定剂和乳化剂,犬、猫
羟丙基二淀粉磷酸酯,粘结剂、抗结块剂、稳定剂和乳化剂,犬、猫
羟丙基淀粉,粘结剂、抗结块剂、稳定剂和乳化剂,犬、猫
羧甲基淀粉钠,粘结剂、抗结块剂、稳定剂和乳化剂,犬、猫
结冷胶,粘结剂、抗结块剂、稳定剂和乳化剂,犬、猫
硬脂酸镁,粘结剂、抗结块剂、稳定剂和乳化剂,犬、猫
不溶性聚乙烯聚吡咯烷酮（PVPP),粘结剂、抗结块剂、稳定剂和乳化剂,犬、猫
透明质酸,其他,犬、猫
羟丙基纤维素,粘结剂、抗结块剂、稳定剂和乳化剂,犬、猫
结冷胶,粘结剂、抗结块剂、稳定剂和乳化剂,犬、猫
醋酸酯淀粉,粘结剂、抗结块剂、稳定剂和乳化剂,犬、猫
酪蛋白酸钠,粘结剂、抗结块剂、稳定剂和乳化剂,犬、猫
丙二醇脂肪酸酯,粘结剂、抗结块剂、稳定剂和乳化剂,犬、猫
丙二醇脂肪酸酯,粘结剂、抗结块剂、稳定剂和乳化剂,犬、猫
酪蛋白酸钠,粘结剂、抗结块剂、稳定剂和乳化剂,犬、猫
丙二醇脂肪酸酯,粘结剂、抗结块剂、稳定剂和乳化剂,犬、猫
醋酸酯淀粉,粘结剂、抗结块剂、稳定剂和乳化剂,犬、猫
葡萄糖酸-δ-内酯,粘结剂、抗结块剂、稳定剂和乳化剂,犬、猫
羧甲基淀粉钠,粘结剂、抗结块剂、稳定剂和乳化剂,犬、猫
结冷胶,粘结剂、抗结块剂、稳定剂和乳化剂,犬、猫
羟丙基甲基纤维素,粘结剂、抗结块剂、稳定剂和乳化剂,犬、猫
硬脂酸镁,粘结剂、抗结块剂、稳定剂和乳化剂,犬、猫
葡萄糖酸-δ-内酯,粘结剂、抗结块剂、稳定剂和乳化剂,犬、猫
羟丙基二淀粉磷酸酯,粘结剂、抗结块剂、稳定剂和乳化剂,犬、猫
羟丙基二淀粉磷酸酯,粘结剂、抗结块剂、稳定剂和乳化剂,犬、猫
羟丙基淀粉,粘结剂、抗结块剂、稳定剂和乳化剂,犬、猫
醋酸酯淀粉,粘结剂、抗结块剂、稳定剂和乳化剂,犬、猫
葡萄糖酸-δ-内酯,粘结剂、抗结块剂、稳定剂和乳化剂,犬、猫
不溶性聚乙烯聚吡咯烷酮（PVPP),粘结剂、抗结块剂、稳定剂和乳化剂,犬、猫
羧甲基淀粉钠,粘结剂、抗结块剂、稳定剂和乳化剂,犬、猫
羟丙基淀粉,粘结剂、抗结块剂、稳定剂和乳化剂,犬、猫
酪蛋白酸钠,粘结剂、抗结块剂、稳定剂和乳化剂,犬、猫
酪蛋白酸钠,粘结剂、抗结块剂、稳定剂和乳化剂,犬、猫
丙二醇脂肪酸酯,粘结剂、抗结块剂、稳定剂和乳化剂,犬、猫
羟丙基二淀粉磷酸酯,粘结剂、抗结块剂、稳定剂和乳化剂,犬、猫
羟丙基淀粉,粘结剂、抗结块剂、稳定剂和乳化剂,犬、猫
结冷胶,粘结剂、抗结块剂、稳定剂和乳化剂,犬、猫
醋酸酯淀粉,粘结剂、抗结块剂、稳定剂和乳化剂,犬、猫
丙二醇脂肪酸酯,粘结剂、抗结块剂、稳定剂和乳化剂,犬、猫
酪蛋白酸钠,粘结剂、抗结块剂、稳定剂和乳化剂,犬、猫
丙二醇脂肪酸酯,粘结剂、抗结块剂、稳定剂和乳化剂,犬、猫
葡萄糖酸-δ-内酯,粘结剂、抗结块剂、稳定剂和乳化剂,犬、猫
羟丙基二淀粉磷酸酯,粘结剂、抗结块剂、稳定剂和乳化剂,犬、猫
羟丙基淀粉,粘结剂、抗结块剂、稳定剂和乳化剂,犬、猫
酪蛋白酸钠,粘结剂、抗结块剂、稳定剂和乳化剂,犬、猫
丙二醇脂肪酸酯,粘结剂、抗结块剂、稳定剂和乳化剂,犬、猫
